SubcID,IsRoad,Area,Width,Mode,DisPointID,Partition
320,0,3.1,1.8,0,221,7
321,0,3.3,1.8,0,422,7
322,0,1.2,1.1,0,447,7
323,0,1.7,1.3,0,451,7
324,0,1.2,1.1,0,451,7
325,0,6.4,2.5,0,88,8
326,0,9.7,3.1,0,13,20
327,0,9.9,3.2,0,167,20
328,0,2.8,1.7,0,245,7
329,0,2.6,1.6,0,81,7
330,0,3.0,1.7,0,81,7
331,0,2.6,1.6,0,239,7
332,0,1.7,1.3,0,451,7
333,0,1.9,1.4,0,259,7
334,0,2.0,1.4,0,263,7
335,0,1.4,1.2,0,263,7
336,0,1.8,1.3,0,453,7
337,0,1.4,1.2,0,308,15
338,0,2.2,1.5,0,85,8
339,0,1.9,1.4,0,453,7
340,0,6.3,2.5,0,454,12
341,0,2.3,1.5,0,322,12
342,0,7.0,2.6,0,455,12
343,0,3.3,1.8,0,315,12
344,0,2.9,1.7,0,331,12
345,0,2.5,1.6,0,93,15
346,0,3.3,1.8,0,306,8
347,0,4.4,2.1,0,367,8
348,0,3.3,1.8,0,367,8
349,0,3.0,1.7,0,367,8
350,0,3.5,1.9,0,293,8
351,0,4.0,2.0,0,365,8
352,0,2.0,1.4,0,365,8
353,0,2.6,1.6,0,97,8
354,0,1.6,1.3,0,368,8
355,0,2.2,1.5,0,98,8
356,0,2.9,1.7,0,62,7
357,0,5.3,2.3,0,62,7
358,0,5.7,2.4,0,221,7
359,0,4.0,2.0,0,80,7
360,0,4.4,2.1,0,447,7
361,0,3.1,1.8,0,368,8
362,0,2.1,1.5,0,488,14
363,0,18.6,4.3,0,118,20
364,0,6.4,2.5,0,390,7
365,0,8.9,3.0,0,48,7
366,0,9.4,3.1,0,35,7
367,0,4.0,2.0,0,79,7
368,0,4.1,2.0,0,89,15
369,0,2.7,1.6,0,98,8
370,0,2.2,1.5,0,87,3
371,0,4.1,2.0,0,87,3
372,0,4.7,2.2,0,86,5
373,0,3.8,1.9,0,174,7
374,0,2.8,1.7,0,174,7
375,0,2.1,1.5,0,178,7
376,0,2.0,1.4,0,179,7
377,0,3.1,1.8,0,190,7
378,0,1.1,1.1,0,190,7
379,0,1.3,1.1,0,180,7
380,0,1.8,1.3,0,259,7
381,0,2.0,1.4,0,263,7
382,0,1.3,1.1,0,263,7
383,0,1.7,1.3,0,178,7
384,0,1.7,1.3,0,243,7
385,0,2.0,1.4,0,177,7
386,0,2.4,1.5,0,239,7
387,0,6.0,2.5,0,176,7
388,0,1.6,1.2,0,191,7
389,0,3.2,1.8,0,186,15
390,0,1.7,1.3,0,308,15
391,0,1.6,1.3,0,322,12
392,0,1.7,1.3,0,193,12
393,0,1.5,1.2,0,455,12
394,0,1.9,1.4,0,331,12
395,0,1.6,1.3,0,331,12
396,0,3.0,1.7,0,315,12
397,0,2.2,1.5,0,306,8
398,0,2.9,1.7,0,367,8
399,0,1.6,1.2,0,365,8
400,0,2.1,1.5,0,367,8
401,0,2.0,1.4,0,367,8
402,0,2.4,1.5,0,293,8
403,0,1.1,1.0,0,293,8
404,0,1.0,1.0,0,293,8
405,0,1.3,1.1,0,365,8
406,0,1.6,1.3,0,368,8
407,0,1.0,1.0,0,368,8
408,0,1.3,1.2,0,495,14
409,0,1.4,1.2,0,488,14
410,0,1.6,1.2,0,489,8
411,0,10.2,3.2,0,66,7
412,0,3.6,1.9,0,76,20
413,0,2.2,1.5,0,184,3
414,0,28.8,5.4,0,73,20
415,0,20.1,4.5,0,104,20
416,0,7.2,2.7,0,73,20
417,0,8.3,2.9,0,169,16
418,0,2.6,1.6,0,198,3
419,0,4.6,2.1,0,56,16
420,0,4.1,2.0,0,56,16
421,0,5.0,2.2,0,133,16
422,0,4.5,2.1,0,133,16
423,0,5.0,2.2,0,41,7
424,0,10.0,3.2,0,184,3
425,0,6.8,2.6,0,66,7
426,0,2.8,1.7,0,174,7
427,0,1.7,1.3,0,174,7
428,0,2.0,1.4,0,178,7
429,0,1.5,1.2,0,178,7
430,0,1.5,1.2,0,177,7
431,0,1.8,1.3,0,177,7
432,0,1.5,1.2,0,176,7
433,0,2.1,1.4,0,176,7
434,0,1.9,1.4,0,175,7
435,0,13.6,3.7,0,82,7
436,0,1.3,1.1,0,196,8
437,0,1.6,1.3,0,182,14
438,0,1.6,1.3,0,179,7
439,0,1.3,1.2,0,179,7
440,0,1.4,1.2,0,179,7
441,0,1.2,1.1,0,190,7
442,0,1.3,1.2,0,190,7
443,0,1.8,1.3,0,180,7
444,0,2.0,1.4,0,181,7
445,0,1.4,1.2,0,181,7
446,0,3.0,1.7,0,76,20
447,0,0.9,0.9,0,76,20
448,0,1.5,1.2,0,181,7
449,0,1.3,1.1,0,186,15
450,0,1.4,1.2,0,186,15
451,0,1.5,1.2,0,186,15
452,0,13.5,3.7,0,186,15
453,0,6.6,2.6,0,454,12
454,0,2.0,1.4,0,322,12
455,0,13.1,3.6,0,413,5
456,0,4.1,2.0,0,413,5
457,0,1.6,1.3,0,189,12
458,0,1.8,1.3,0,193,12
459,0,1.7,1.3,0,193,12
460,0,1.9,1.4,0,192,12
461,0,1.6,1.3,0,192,12
462,0,2.1,1.5,0,188,12
463,0,1.4,1.2,0,188,12
464,0,15.4,3.9,0,315,12
465,0,2.3,1.5,0,185,12
466,0,3.0,1.7,0,196,8
467,0,2.2,1.5,0,196,8
468,0,1.1,1.1,0,194,14
469,0,1.3,1.2,0,194,14
470,0,1.7,1.3,0,194,14
471,0,1.4,1.2,0,195,8
472,0,1.7,1.3,0,197,14
473,0,2.5,1.6,0,197,14
474,0,1.0,1.0,0,495,14
475,0,1.5,1.2,0,199,14
476,0,1.4,1.2,0,198,3
477,0,4.5,2.1,0,183,5
478,0,2.9,1.7,0,173,5
479,0,2.8,1.7,0,75,20
480,0,2.6,1.6,0,162,16
481,0,1.8,1.4,0,169,16
