NodeID,X,Y,NodeType,SystemType,SurfaceElev,InvertElev,StrahlerNumber
80,401993.42,4319115.90,Manhole,0,9.70,2.94,2
319,406438.69,4320782.33,Manhole,0,11.70,4.17,1
271,405973.23,4320403.63,Manhole,0,11.70,9.83,1
425,403904.80,4319111.54,Manhole,0,9.70,8.80,1
260,403898.24,4317957.50,Manhole,0,9.30,1.61,4
181,404512.45,4318345.76,Manhole,0,9.30,8.40,1
447,403219.43,4318721.34,Manhole,0,9.30,4.63,2
363,412127.56,4317920.12,Manhole,0,8.30,6.51,1
435,412891.01,4319098.44,Manhole,0,9.40,8.50,1
297,412885.74,4317580.02,Manhole,0,8.80,5.53,2
432,413314.64,4317042.94,Manhole,0,8.30,7.40,1
231,401575.17,4317524.62,Manhole,0,9.30,6.50,2
233,401980.26,4317071.52,Manhole,0,8.80,7.90,1
174,400652.26,4318363.92,Manhole,0,9.70,4.03,3
146,401573.39,4316690.58,Manhole,0,8.00,7.10,1
160,396998.57,4317443.73,Manhole,0,9.80,5.16,3
164,397398.85,4317641.84,Manhole,0,9.30,7.08,1
257,403223.80,4317418.48,Manhole,0,8.70,7.80,1
452,403573.43,4317621.08,Manhole,0,9.30,6.75,1
330,404868.72,4317415.94,Manhole,0,8.70,7.80,1
462,404519.48,4317052.05,Manhole,0,8.70,6.12,2
339,403566.91,4317068.02,Manhole,0,8.70,6.49,1
131,398640.22,4316299.00,Manhole,0,8.70,3.71,2
53,398192.74,4316708.11,Manhole,0,9.30,3.96,4
227,402079.36,4313541.79,Manhole,0,8.00,6.22,1
415,399182.10,4314043.15,Manhole,0,9.30,8.30,1
112,397696.65,4313984.01,Manhole,0,10.00,8.95,1
60,398225.93,4314683.32,Manhole,0,9.30,7.56,1
15,396043.29,4316710.39,Manhole,0,8.00,7.10,1
473,409836.66,4316661.24,Manhole,0,11.70,10.70,1
278,410283.83,4317386.06,Manhole,0,11.30,4.83,4
394,394680.49,4317165.55,Manhole,0,9.30,5.62,1
23,396583.05,4319225.07,Manhole,0,9.40,8.50,1
20,396579.64,4318365.83,Manhole,0,8.00,6.06,1
94,410849.05,4319078.59,Manhole,0,11.70,9.37,4
19,396051.15,4319762.00,Manhole,0,10.30,5.40,2
110,395646.63,4320235.72,Manhole,0,10.30,8.65,1
6,395356.59,4320892.42,Manhole,0,10.30,4.59,1
204,404529.36,4321389.48,Manhole,0,10.80,7.38,1
79,402495.15,4319113.78,Manhole,0,8.00,4.04,2
320,406829.24,4320780.09,Manhole,0,11.70,5.10,1
248,405971.61,4320015.29,Manhole,0,11.70,10.70,1
264,404514.57,4317955.83,Manhole,0,9.30,2.19,4
179,403220.67,4318351.84,Manhole,0,9.30,5.26,1
82,403218.13,4319110.74,Manhole,0,9.30,8.15,1
362,412491.50,4317919.74,Manhole,0,8.80,7.90,1
300,412886.92,4317919.33,Manhole,0,9.40,6.38,1
481,412488.64,4317581.12,Manhole,0,8.80,7.90,1
232,401106.34,4317526.80,Manhole,0,9.30,8.40,1
66,400030.06,4318366.84,Manhole,0,8.80,1.73,2
178,401106.37,4318361.78,Manhole,0,9.70,4.62,2
221,400653.49,4318720.35,Manhole,0,9.70,4.95,2
230,401983.16,4317522.73,Manhole,0,8.80,7.90,1
159,396999.43,4317642.66,Manhole,0,9.80,5.72,2
161,396997.02,4317082.61,Manhole,0,9.30,8.40,1
162,397397.14,4317985.28,Manhole,0,9.30,8.40,1
256,403223.12,4317622.69,Manhole,0,8.70,7.80,1
340,404868.65,4317052.04,Manhole,0,8.70,6.82,2
258,403224.98,4317067.96,Manhole,0,8.70,7.80,1
124,398636.90,4315867.35,Manhole,0,8.70,7.80,1
54,398190.80,4316301.31,Manhole,0,8.70,4.34,1
59,398194.59,4317094.29,Manhole,0,9.30,4.60,3
139,397713.48,4316708.62,Manhole,0,8.70,6.21,1
419,401942.88,4313355.38,Manhole,0,8.00,7.10,1
33,398500.73,4314472.37,Manhole,0,9.30,8.25,1
277,410283.83,4317587.23,Manhole,0,11.30,5.17,4
105,394874.53,4316711.64,Manhole,0,9.80,6.27,1
75,397002.55,4318364.05,Manhole,0,8.00,7.00,1
358,410844.80,4318685.38,Manhole,0,11.70,9.77,4
392,395397.05,4320089.75,Manhole,0,10.30,9.30,1
13,396049.74,4319215.69,Manhole,0,9.40,8.35,1
168,395651.87,4319762.00,Manhole,0,10.30,6.11,2
398,394902.47,4320558.67,Manhole,0,9.40,6.53,1
203,403907.19,4321176.74,Manhole,0,10.80,9.90,1
175,402493.66,4318355.26,Manhole,0,8.00,7.10,1
225,402496.27,4319681.30,Manhole,0,9.30,6.96,1
321,407124.19,4321072.46,Manhole,0,11.80,6.06,1
327,404874.10,4317954.85,Manhole,0,9.30,2.53,4
255,403221.99,4317959.33,Manhole,0,9.30,5.91,1
469,413532.26,4317918.66,Manhole,0,8.80,7.80,1
244,401106.36,4317979.66,Manhole,0,9.30,5.12,2
62,400033.65,4319124.15,Manhole,0,9.30,2.49,2
78,400654.87,4319121.54,Manhole,0,10.00,9.00,1
245,401106.39,4318718.59,Manhole,0,9.70,5.96,2
158,397000.91,4317985.32,Manhole,0,9.80,7.13,1
30,396576.78,4317643.52,Manhole,0,9.30,8.40,1
311,405225.69,4317052.03,Manhole,0,8.70,7.70,1
155,404868.57,4316678.88,Manhole,0,8.70,7.70,1
52,398188.72,4315868.41,Manhole,0,8.70,5.04,1
58,398196.24,4317438.71,Manhole,0,9.30,5.09,3
409,397715.46,4317098.62,Manhole,0,8.70,7.80,1
420,400642.01,4313123.48,Manhole,0,8.30,4.65,1
341,410832.93,4317585.71,Manhole,0,11.70,6.14,3
343,409842.89,4317588.45,Manhole,0,11.70,10.80,1
120,395502.22,4316710.97,Manhole,0,9.30,8.30,1
365,411164.00,4318684.36,Manhole,0,11.70,10.10,4
123,395275.52,4319484.79,Manhole,0,9.30,6.77,2
399,394902.47,4319936.37,Manhole,0,9.30,8.40,1
226,402496.95,4320029.82,Manhole,0,9.30,8.40,1
497,407123.86,4321385.09,Manhole,0,8.00,7.10,1
328,404874.10,4317615.13,Manhole,0,9.30,2.86,4
326,403576.61,4317958.37,Manhole,0,9.30,6.80,1
242,401576.14,4317977.09,Manhole,0,9.30,6.16,2
35,399135.78,4319127.93,Manhole,0,9.30,4.28,1
243,401577.71,4318716.75,Manhole,0,9.70,7.06,1
422,401106.41,4319115.61,Manhole,0,10.00,9.10,1
423,400036.35,4319694.21,Manhole,0,9.70,6.65,2
403,396578.13,4317985.37,Manhole,0,9.30,8.40,1
127,397709.21,4315869.14,Manhole,0,8.70,6.05,1
171,397717.21,4317440.72,Manhole,0,8.70,7.03,1
135,398648.97,4317436.81,Manhole,0,9.30,7.90,3
222,400393.20,4312738.09,Manhole,0,9.00,6.40,1
347,410830.76,4317384.54,Manhole,0,11.70,6.51,3
195,411163.17,4318314.49,Manhole,0,11.70,4.39,3
368,411559.11,4318683.11,Manhole,0,10.10,6.28,3
103,395029.30,4319782.85,Manhole,0,9.30,8.15,1
118,395505.73,4319206.12,Manhole,0,9.30,8.40,1
265,404516.41,4317616.77,Manhole,0,9.30,8.40,1
190,403580.30,4318350.15,Manhole,0,9.30,8.40,1
309,405228.81,4317613.50,Manhole,0,8.70,3.20,4
238,401986.07,4317974.84,Manhole,0,9.30,8.40,1
48,398204.34,4319131.86,Manhole,0,9.80,5.54,1
177,401576.95,4318359.57,Manhole,0,9.70,7.07,1
239,401990.84,4318715.14,Manhole,0,9.30,8.40,1
218,400656.83,4319690.95,Manhole,0,10.00,9.00,1
71,400038.88,4320227.84,Manhole,0,10.00,7.55,2
126,397407.68,4315869.58,Manhole,0,8.70,6.77,1
170,397718.22,4317641.19,Manhole,0,8.70,7.80,1
43,399127.58,4317434.81,Manhole,0,8.70,1.62,3
114,400153.20,4312366.34,Manhole,0,9.00,8.10,1
348,411161.06,4317383.62,Manhole,0,11.70,7.11,3
194,410840.82,4318316.01,Manhole,0,11.70,4.93,2
97,411561.03,4319075.59,Manhole,0,10.10,6.79,3
197,411557.30,4318312.64,Manhole,0,10.10,9.20,1
448,405230.69,4317953.89,Manhole,0,8.70,7.70,1
310,405227.71,4317415.38,Manhole,0,8.70,3.41,4
49,398207.02,4319692.48,Manhole,0,10.00,6.27,1
176,401988.54,4318357.63,Manhole,0,9.30,8.40,1
5,400041.93,4320871.60,Manhole,0,10.00,8.70,2
125,396991.78,4315870.20,Manhole,0,8.70,7.70,1
46,399128.07,4317535.97,Manhole,0,8.70,1.78,3
282,411160.30,4317047.33,Manhole,0,11.70,7.74,3
182,410516.37,4318317.53,Manhole,0,11.70,9.82,1
357,410836.56,4317921.46,Manhole,0,11.70,5.91,1
101,411945.55,4319073.97,Manhole,0,8.00,1.21,2
369,411563.14,4319505.87,Manhole,0,10.10,7.50,3
313,405960.79,4317414.25,Manhole,0,11.20,4.19,4
36,399138.51,4319690.67,Manhole,0,9.80,7.73,1
3,399144.25,4320875.59,Manhole,0,10.00,3.48,2
42,399128.57,4317638.31,Manhole,0,8.70,1.94,3
470,411159.41,4316656.55,Manhole,0,11.30,10.40,1
286,411551.10,4317046.53,Manhole,0,10.10,3.25,3
468,410827.13,4317048.01,Manhole,0,11.70,9.42,1
280,410516.66,4317921.80,Manhole,0,11.70,10.70,1
360,411162.28,4317921.13,Manhole,0,11.70,6.63,1
374,411921.69,4318681.96,Manhole,0,8.00,7.10,1
285,411564.87,4319860.39,Manhole,0,10.10,4.39,2
366,411165.87,4319507.43,Manhole,0,11.70,9.50,1
375,411804.85,4319504.92,Manhole,0,8.00,0.74,1
99,412133.57,4319073.18,Manhole,0,8.30,1.68,2
314,405961.24,4317523.44,Manhole,0,11.20,4.30,4
37,399141.09,4320224.64,Manhole,0,10.00,9.00,1
4,398212.70,4320879.73,Manhole,0,10.00,5.10,2
41,399132.12,4318371.06,Manhole,0,8.70,3.15,3
283,410500.79,4317048.67,Manhole,0,11.30,10.40,1
156,411549.19,4316655.16,Manhole,0,10.10,9.00,2
295,411885.04,4317045.85,Manhole,0,8.00,4.07,2
350,411552.75,4317382.53,Manhole,0,10.10,9.20,1
342,411161.51,4317584.80,Manhole,0,11.70,8.02,1
