PipeID,UpNode,DownNode,UpBottomElev,DownBottomElev,Shape,Height,Width,HydrolicRadius,Length,Slope,DesignFlow,CapitalCost(CNY),HasPump
342,204,202,7.48,4.72,CIRC,0.20,0.20,0.05,720.38,0.00,7,165614,0
344,445,497,6.70,5.74,CIRC,0.70,0.70,0.17,683.44,0.00,134,121707,0
805,292,212,10.90,9.45,CIRC,0.30,0.30,0.07,659.74,0.00,25,40857,0
352,212,208,9.45,8.64,CIRC,0.30,0.30,0.07,368.32,0.00,25,44857,0
780,288,370,2.28,7.90,CIRC,0.30,0.30,0.07,346.30,-0.02,30,1084467,1
520,294,289,4.17,3.09,CIRC,0.30,0.30,0.07,358.09,0.00,19,79718,0
521,289,288,3.09,2.28,CIRC,0.30,0.30,0.07,370.20,0.00,23,107350,0
803,370,487,7.80,7.25,CIRC,0.40,0.40,0.10,369.17,0.00,46,16263,0
781,355,288,7.50,6.18,CIRC,0.20,0.20,0.05,345.64,0.00,5,17823,0
714,356,494,7.50,6.49,CIRC,0.20,0.20,0.05,263.57,0.00,1,9561,0
827,494,294,5.65,4.27,CIRC,0.20,0.20,0.05,360.40,0.00,13,48541,0
790,487,99,7.20,6.63,CIRC,0.45,0.45,0.11,431.89,0.00,52,31138,0
778,489,98,8.00,6.50,CIRC,0.20,0.20,0.05,392.29,0.00,2,21993,0
779,98,370,6.50,8.00,CIRC,0.20,0.20,0.05,439.69,0.00,9,484382,1
817,493,494,7.20,5.65,CIRC,0.20,0.20,0.05,405.09,0.00,5,23213,0
126,99,101,6.63,6.39,CIRC,0.45,0.45,0.11,188.02,-0.00,52,16019,0
610,321,320,10.90,9.99,CIRC,0.30,0.30,0.07,415.30,0.00,23,18993,0
608,320,319,9.99,9.13,CIRC,0.30,0.30,0.07,390.55,0.00,23,34683,0
718,279,467,10.01,9.24,CIRC,0.30,0.30,0.07,350.68,0.00,22,22629,0
726,359,279,10.80,10.01,CIRC,0.30,0.30,0.07,353.84,0.00,17,12435,0
712,467,353,9.24,8.56,CIRC,0.30,0.30,0.07,306.17,0.00,22,31413,0
808,306,492,11.00,9.70,CIRC,0.20,0.20,0.05,339.16,0.00,8,17277,0
807,492,100,9.70,8.05,CIRC,0.20,0.20,0.05,432.19,0.00,8,55484,0
806,100,491,8.05,6.25,CIRC,0.20,0.20,0.05,304.90,0.01,8,53247,0
815,491,490,6.25,4.75,CIRC,0.20,0.20,0.05,391.29,0.00,8,85420,0
816,490,292,4.75,11.00,CIRC,0.20,0.20,0.05,242.26,-0.03,8,457323,1
366,410,207,8.45,7.05,CIRC,0.35,0.35,0.09,583.17,0.00,31,19148,0
363,482,480,7.20,5.77,CIRC,0.20,0.20,0.05,372.60,0.00,2,20181,0
365,480,207,5.77,7.20,CIRC,0.20,0.20,0.05,693.04,0.00,11,563320,1
665,331,315,6.97,10.70,CIRC,0.50,0.50,0.12,481.93,0.00,68,1860215,1
691,334,464,9.50,8.43,CIRC,0.30,0.30,0.07,479.23,0.00,20,60276,0
595,464,188,8.23,7.70,CIRC,0.50,0.50,0.12,379.11,0.00,80,83094,0
596,188,315,7.60,10.60,CIRC,0.60,0.60,0.15,377.72,0.00,87,2167905,1
593,316,464,9.10,8.43,CIRC,0.40,0.40,0.10,446.30,0.00,44,46335,0
690,338,334,10.90,9.60,CIRC,0.20,0.20,0.05,432.11,0.00,10,23067,0
307,192,193,11.00,9.35,CIRC,0.20,0.20,0.05,431.51,0.00,9,24740,0
305,189,193,8.86,8.26,CIRC,0.40,0.40,0.10,398.02,0.00,39,62168,0
616,325,189,10.90,9.42,CIRC,0.20,0.20,0.05,385.17,0.00,11,21329,0
617,322,189,10.90,9.51,CIRC,0.20,0.20,0.05,363.99,0.00,7,19412,0
666,193,455,8.21,7.73,CIRC,0.45,0.45,0.11,368.17,0.00,54,73753,0
664,455,331,7.68,6.97,CIRC,0.50,0.50,0.12,430.96,0.00,62,109747,0
558,185,465,7.20,5.00,CIRC,0.20,0.20,0.05,733.77,0.00,7,127973,0
693,343,465,10.90,7.87,CIRC,0.20,0.20,0.05,790.33,0.00,11,75427,0
555,465,459,4.85,4.65,CIRC,0.35,0.35,0.09,99.00,0.00,32,37951,0
679,459,316,4.65,9.15,CIRC,0.35,0.35,0.09,1315.92,-0.00,32,1333961,1
584,454,187,10.80,10.00,CIRC,0.30,0.30,0.07,359.11,0.00,18,16309,0
306,187,189,10.00,8.96,CIRC,0.30,0.30,0.07,467.04,0.00,18,43417,0
570,89,308,4.55,4.12,CIRC,0.80,0.80,0.20,391.40,0.00,190,162226,0
573,270,247,6.21,5.70,CIRC,0.80,0.80,0.20,389.10,0.00,153,135574,0
571,247,89,5.70,4.55,CIRC,0.80,0.80,0.20,916.12,0.00,162,345814,0
569,308,186,4.12,3.71,CIRC,0.80,0.80,0.20,368.47,0.00,193,162691,0
659,335,252,5.70,4.86,CIRC,0.40,0.40,0.10,560.84,0.00,44,201810,0
661,252,276,4.66,8.58,CIRC,0.60,0.60,0.15,387.57,-0.02,110,2580956,1
530,276,275,8.48,7.91,CIRC,0.70,0.70,0.17,399.93,0.00,134,109886,0
454,248,251,10.90,9.12,CIRC,0.20,0.20,0.05,464.87,0.00,6,29340,0
619,92,251,9.66,8.28,CIRC,0.40,0.40,0.10,916.16,0.00,44,122046,0
453,251,252,8.23,7.70,CIRC,0.45,0.45,0.11,409.47,0.00,58,82095,0
531,275,271,7.91,7.28,CIRC,0.70,0.70,0.17,464.37,0.00,141,144152,0
117,90,92,10.80,9.76,CIRC,0.30,0.30,0.07,466.06,0.00,19,23968,0
660,93,335,7.02,5.80,CIRC,0.30,0.30,0.07,546.10,0.00,21,150580,0
532,272,276,10.90,8.88,CIRC,0.30,0.30,0.07,918.84,0.00,25,68043,0
529,271,270,7.28,6.31,CIRC,0.70,0.70,0.17,728.94,-0.00,145,224241,0
598,317,91,11.00,8.97,CIRC,0.20,0.20,0.05,529.13,0.00,7,36723,0
118,91,93,8.97,7.12,CIRC,0.20,0.20,0.05,483.26,0.00,15,84334,0
318,198,184,6.41,8.50,CIRC,0.30,0.30,0.07,393.48,0.00,17,728263,1
776,362,198,8.00,6.51,CIRC,0.20,0.20,0.05,388.50,0.00,1,21638,0
543,300,184,5.36,8.50,CIRC,0.30,0.30,0.07,387.05,0.00,17,744627,1
545,87,184,8.60,8.60,CIRC,0.20,0.20,0.05,763.62,0.00,9,474218,1
542,484,297,8.00,7.63,CIRC,0.20,0.20,0.05,95.41,0.00,6,2656,0
701,481,297,8.00,6.48,CIRC,0.20,0.20,0.05,397.10,0.00,1,22448,0
540,297,300,6.48,5.46,CIRC,0.20,0.20,0.05,339.31,0.00,13,47347,0
92,66,72,2.31,2.07,CIRC,1.40,1.40,0.35,381.27,0.00,734,374188,0
106,35,62,5.38,4.21,CIRC,0.45,0.45,0.11,897.87,0.00,59,221223,0
56,41,35,7.80,5.53,CIRC,0.30,0.30,0.07,756.88,0.00,16,74916,0
386,78,218,8.80,7.90,CIRC,0.60,0.60,0.15,569.42,0.00,113,74066,0
387,218,219,5.45,4.96,CIRC,1.20,1.20,0.30,523.96,0.00,409,372291,0
445,219,71,4.21,3.72,CIRC,1.20,1.20,0.30,619.89,-0.01,517,492780,0
95,71,423,3.52,3.16,CIRC,1.40,1.40,0.35,533.64,0.00,644,519835,0
94,423,62,3.16,2.78,CIRC,1.40,1.40,0.35,570.06,-0.01,667,556128,0
104,390,48,8.50,7.75,CIRC,0.20,0.20,0.05,250.98,0.00,8,12494,0
105,48,35,7.60,5.73,CIRC,0.35,0.35,0.09,931.45,0.00,34,124834,0
443,236,240,8.90,7.65,CIRC,0.20,0.20,0.05,417.30,0.00,9,23914,0
434,241,240,8.18,7.41,CIRC,0.30,0.30,0.07,347.54,-0.00,26,40358,0
433,81,240,2.34,6.71,CIRC,1.00,1.00,0.25,568.47,-0.01,264,4732758,1
446,237,241,9.10,8.18,CIRC,0.30,0.30,0.07,418.79,0.00,23,29911,0
442,240,218,6.71,5.65,CIRC,1.00,1.00,0.25,922.96,0.00,292,431625,0
297,176,175,8.40,7.10,CIRC,0.30,0.30,0.07,505.13,0.00,17,12903,0
401,175,79,5.58,4.06,CIRC,0.35,0.35,0.09,758.53,0.00,34,113980,0
400,424,175,7.20,5.73,CIRC,0.20,0.20,0.05,383.19,0.00,10,21146,0
112,83,82,7.29,6.26,CIRC,0.40,0.40,0.10,686.66,0.00,41,91321,0
113,84,83,8.79,7.39,CIRC,0.30,0.30,0.07,603.54,0.00,29,36888,0
480,426,84,8.80,8.79,CIRC,0.30,0.30,0.07,5.35,0.00,20,138,0
472,425,83,8.90,8.89,CIRC,0.20,0.20,0.05,3.69,0.00,5,71,0
111,82,79,4.19,3.44,CIRC,0.90,0.90,0.23,722.99,-0.00,215,336116,0
110,79,80,3.44,2.97,CIRC,0.90,0.90,0.23,501.74,0.00,246,259539,0
109,80,81,2.87,2.34,CIRC,1.00,1.00,0.25,414.85,0.00,253,287966,0
93,62,66,2.78,2.31,CIRC,1.40,1.40,0.35,757.32,-0.01,719,737527,0
622,451,447,8.90,7.50,CIRC,0.20,0.20,0.05,364.35,0.00,9,15797,0
463,179,447,5.42,4.90,CIRC,0.70,0.70,0.17,369.50,0.00,137,115527,0
461,256,255,7.90,6.89,CIRC,0.20,0.20,0.05,336.64,0.00,8,19786,0
462,255,179,6.79,5.82,CIRC,0.30,0.30,0.07,392.51,0.00,30,52954,0
464,447,82,4.90,4.39,CIRC,0.70,0.70,0.17,389.40,0.00,148,134023,0
436,422,245,9.20,7.68,CIRC,0.20,0.20,0.05,397.03,0.00,13,19445,0
439,244,178,4.55,4.05,CIRC,0.45,0.45,0.11,382.12,0.00,50,110433,0
295,177,178,5.69,4.75,CIRC,0.35,0.35,0.09,470.58,0.00,31,106280,0
431,243,177,6.53,5.74,CIRC,0.30,0.30,0.07,357.18,0.00,24,59593,0
839,239,243,8.50,7.26,CIRC,0.20,0.20,0.05,413.13,0.00,6,24590,0
384,174,221,3.28,2.66,CIRC,0.60,0.60,0.15,356.44,0.00,98,155642,0
294,178,174,4.00,3.38,CIRC,0.50,0.50,0.12,454.12,0.00,82,160915,0
838,245,243,7.58,6.53,CIRC,0.30,0.30,0.07,471.33,0.00,16,54544,0
385,221,78,2.66,8.80,CIRC,0.60,0.60,0.15,401.18,-0.02,107,2516756,1
11,421,10,8.06,6.99,CIRC,0.50,0.50,0.12,735.58,0.00,75,141676,0
834,10,253,6.89,5.71,CIRC,0.60,0.60,0.15,664.01,0.00,95,198194,0
455,253,219,5.61,4.71,CIRC,0.70,0.70,0.17,612.14,0.00,126,253126,0
470,238,242,6.54,5.64,CIRC,0.30,0.30,0.07,409.94,0.00,25,60115,0
421,230,238,8.00,6.64,CIRC,0.20,0.20,0.05,452.12,0.00,12,29406,0
469,242,244,5.59,4.65,CIRC,0.35,0.35,0.09,469.79,0.00,37,97705,0
